Paneth cell (43)	LYZ, DEFA5
goblet cell (44)	MUC2, ITLN1, SLC26A2, CLCA4
tuft cell (45)	DCLK1, IRF7, SELENBP1
absorptive (46)	CA2, SI
enterocyte (47)	BEST4, CA7, NEURL1, HES1
endocrine lineage cell (48)	CRYBA2
stem cell (49)	LGR5, ASCL2, OLFM4, RNF43
BCHE (butyrylcholinesterase) cell (50)	BEST4, CFTR, guanylin, uroguanylin
endothelial (51)
lymphatic (52)
myofibroblast (53)	TP53I3, DES, ACTG2, CNN1
fibroblast (54)	COL6A1, COL6A2
nerve (55)
M cell (56)
B cell (57)	MKI67, MS4A1, PAX5
plasma (58)	IGLL5
CD4+ T (59)	CD3D, CD2, CD4
regulatory CD4+ T (60)
CD8+ T (61)	MGLL, TAGLN, CD3D, CD8A, CD2
macrophage (62)	CD14
eosinophil (63)
mast cell (64)	HDC
neutrophil (65)
natural killer (NK) cell (66)
dendritic cell (DC) (67)
innate lyphoid cell (ILC) (68)
nerve (73)
muscle (74)
mesothelial (82)
fibroblasts (83)	COL6A1, COL6A2
endothelial cells (84)	NOVA2, SOX17
epithelial stem cells (211)
Paneth (212)
endocrine (213)
absorptive (214)
goblet (215)
enterocytes (216)
Tuft cells (217)
endothelial (218)
lymphatics (219)
myofibroblasts (220)
fibroblasts (221)
nerves (222)
M cell (223)
B cell (224)
plasma (225)
CD4+ T (226)
regulatory CD4+ T (227)
CD8+ T (228)
macrophages (229)
eosinophils (230)
mast cells (231)
neutrophils (232)
NK cells (233)
DCs (234)
ILCs (235)
muscle (236)
nerves (237)
endoethlial (238)
lymphatic (239)
nerves (240)
muscle (241)
muscle (242)
Interstitial cells of Cajal (243)
fibroblasts (244)
endothelial (245)
nerves (246)
nerves (247)
muscle (248)
mesothelial (249)
fibroblasts (250)
endothelial cells (251)
epithelial stem cells (294)
Paneth (295)
endocrine (296)
absorptive (297)
goblet (298)
enterocytes (299)
Tuft cells (300)
endothelial (301)
lymphatics (302)
myofibroblasts (303)
fibroblasts (304)
nerves (305)
M cell (306)
B cell (307)
plasma (308)
CD4+ T (309)
regulatory CD4+ T (310)
CD8+ T (311)
macrophages (312)
eosinophils (313)
mast cells (314)
neutrophils (315)
NK cells (316)
DCs (317)
ILCs (318)
muscle (319)
nerves (320)
endoethlial (321)
lymphatic (322)
nerves (323)
muscle (324)
muscle (325)
Interstitial cells of Cajal (326)
fibroblasts (327)
endothelial (328)
nerves (329)
nerves (330)
muscle (331)
mesothelial (332)
fibroblasts (333)
endothelial cells (334)
